,Loyalty#,Customer Name,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,Customer Lifetime Value,EnrollmentType,IsCancelled,Tenure_months
0,480934,Cecilia Householder,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Urban,70146.0,Married,Star,2019-02-15,3839.14,Standard,0,83.1
1,549612,Dayle Menez,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Rural,0.0,Divorced,Star,2019-03-09,3839.61,Standard,0,82.4
2,429460,Necole Hannon,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Urban,0.0,Single,Star,2017-07-14,3839.75,Standard,1,42.5
3,608370,Queen Hagee,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,male,College,Suburban,0.0,Single,Star,2016-02-17,3839.75,Standard,0,119.6
4,530508,Claire Latting,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,97832.0,Married,Star,2017-10-25,3842.79,2021 Promotion,0,99.0
5,927943,Hue Sellner,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,College,Urban,0.0,Single,Star,2017-06-09,3857.95,Standard,0,103.6
6,188893,Nakia Cash,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Suburban,93272.0,Married,Star,2019-12-08,3861.49,Standard,0,73.2
7,852392,Arlene Conterras,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Suburban,93272.0,Married,Star,2018-05-30,3861.49,Standard,0,91.8
8,866307,Dustin Recine,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,male,Bachelor,Suburban,93272.0,Married,Star,2019-10-14,3861.49,Standard,0,75.1
9,932823,Jeremy Dickason,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Suburban,47199.0,Married,Star,2018-03-17,3863.31,Standard,0,94.3
10,144514,Belkis Siurek,British Columbia,Dawson Creek,55.759628,-120.23766,V5R 1W3,female,Bachelor,Urban,24204.0,Married,Star,2019-06-11,3864.78,Standard,0,79.2
11,611765,Marjorie Pangelina,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,79628.0,Single,Star,2021-01-28,3867.97,Standard,0,59.3
12,988178,Andre Cotugno,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Single,Star,2016-10-13,3871.07,Standard,0,111.6
13,286114,Vikki Rengers,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,female,College,Rural,0.0,Single,Star,2019-11-29,3872.22,Standard,0,73.5
14,205785,Johnathan Cannizzaro,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,male,Master,Rural,28142.0,Married,Star,2019-08-25,3873.65,Standard,0,76.7
15,735304,Lang Privatsky,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,Master,Urban,28142.0,Married,Star,2019-12-06,3873.65,Standard,0,73.3
